Q2,W,SYS_int2,Vz,minPCAL,BE,ThPhi,fidDC,fidPCAL,sysSF,BCC_sys,RC_sys,ET_sys,SYS_SecDepen,SYS_MomCorr,SYS_Smearing,SYS_UnfProc,Total
3.793,2.05,0.3822,0.5716,0.0007,0.0227,0.8771,0.0596,0.0003,0.0033,0.102,0.091,0.336,3.141,0.1828,0.1768,0.0922,3.364
3.793,2.1,0.2541,0.582,0.0008,0.0283,0.9293,0.0593,0.0006,0.0023,0.102,0.092,0.329,3.1305,0.1563,0.0466,0.0983,3.3518
3.793,2.15,0.1614,0.5645,0.0005,0.0318,0.9378,0.0702,0.0004,0.0009,0.203,0.0,0.327,3.1148,0.085,0.074,0.1329,3.3333
3.793,2.2,0.1093,0.552,0.0012,0.0132,0.9429,0.0211,0.0002,0.0007,0.0,0.0,0.363,3.2974,0.1824,0.1034,0.0317,3.5008
3.793,2.25,0.1048,0.5488,0.0013,0.0238,1.0157,0.0287,0.0002,0.0002,0.203,0.094,0.367,3.4558,0.2256,0.0548,0.0363,3.678
3.793,2.3,0.1353,0.5564,0.0011,0.0235,0.9482,0.0275,0.0003,0.0013,0.203,0.0,0.356,3.2511,0.0287,0.0802,0.0185,3.4603
3.793,2.35,0.0811,0.5569,0.0011,0.015,0.9065,0.0546,0.0007,0.0003,0.0,0.095,0.358,3.264,0.2325,0.0263,0.0261,3.4624
3.793,2.4,0.2607,0.5467,0.0012,0.0256,0.8855,0.0273,0.0007,0.0005,0.203,0.0,0.337,3.018,0.1713,0.0527,0.1124,3.2342
3.793,2.45,0.4564,0.5635,0.001,0.0352,0.8939,0.0907,0.0003,0.0007,0.101,0.0,0.378,2.7322,0.0689,0.0363,0.0384,2.9933
3.793,2.5,0.3821,0.5194,0.0017,0.0163,0.8384,0.0572,0.0004,0.0011,0.407,0.097,0.378,2.8789,0.167,0.0321,0.1043,3.1254
4.4354,1.15,1.5813,0.7448,0.0003,0.0493,1.1288,0.3678,0.0003,0.0287,0.216,2.554,0.687,7.8771,0.5094,2.8331,4.5215,10.1138
4.4354,1.2,0.615,0.8528,0.0005,0.0518,1.0541,0.296,0.0004,0.0389,1.342,1.144,0.285,7.4791,0.6899,0.5771,0.6655,7.9176
4.4354,1.25,0.1995,0.8067,0.0011,0.0397,1.0392,0.151,0.0004,0.0315,0.831,0.577,0.411,7.2551,0.489,0.5646,1.2391,7.5972
4.4354,1.3,0.2727,0.7041,0.001,0.0593,0.9558,0.1012,0.0004,0.0108,0.104,0.425,0.445,6.6184,0.1882,0.3126,0.5063,6.7882
4.4354,1.35,0.3005,0.6539,0.0008,0.0638,0.968,0.1512,0.0003,0.0071,0.624,0.34,0.389,6.6586,0.0394,0.3501,1.0379,6.9048
4.4354,1.4,0.2701,0.6152,0.0003,0.0413,1.0276,0.2026,0.0004,0.0052,0.0,0.168,0.284,6.241,0.1472,0.3577,0.0819,6.3848
4.4354,1.45,0.2396,0.5748,0.0004,0.0227,1.0648,0.1956,0.0003,0.004,1.577,0.572,0.422,5.495,0.0508,0.2446,1.1612,6.0132
4.4354,1.5,0.162,0.5429,0.0007,0.0422,1.0774,0.1632,0.0003,0.0033,0.8,0.328,0.345,4.5483,0.071,0.2832,0.4633,4.8336
4.4354,1.55,0.1843,0.5734,0.0005,0.0658,1.1709,0.1287,0.0003,0.0034,1.044,1.035,0.212,4.3043,0.0755,0.1113,0.3487,4.7568
